Item Category,Latitude (WGS-84),Longitude (WGS-84),Early Date (BCE/CE),Late Date (BCE/CE),Specific Form,Form,Catalogue Id,Sub-form,Description,Thickness,More Description
Pottery,30.3287,35.4421,-200,360,Alabrastron rim,Small forms,,,13. Alabrastron rim. Diam. 2.6 cm. ,1.5, Gritty light reddish brown 5YR 6/4 fabric. Red 2.5YR 5/6 slipped exterior with very dark gray 10YR 3/1 palmette wreath decoration (similar to #14). Location: UT--- Residential Quarter--- Trench 89. Does not join with 14.
Pottery,30.3287,35.4421,-200,360,Stopper,Lids,02-P-18,,2. Stopper. Cat. No. 02-P-18. Diam. 2.1 cm.  Light red 2.5YR 7/8 fabric. Reddish brown 2.5YR 5/3 radiating lines from top of lid to widest point in a star pattern. Rouletting on lower tier. Location: UT--- Baroque Room--- Trench 89--- Locus 5.,,
Pottery,30.3287,35.4421,-200,360,Bowl,Gruppe 8,02-P-56,,Bowl. Cat. No. 02-P-56. Rim Diam. 7.2 cm. Base Diam. 4 cm. Light red 2.5YR 6/8 ware. Location: UT--- Residential Quarter--- Trench 94--- Locus 21. Sequence No. 94262.,,
Pottery,30.3287,35.4421,-200,360,Bowl,Gruppe 8,,,,,
Pottery,30.3287,35.4421,-200,360,Small Jar Base,Small Jars,,,19. Small Jar Base. Diam. 2.4 cm. ,3, Red 2.5YR 5/8 ware with black core. Location: UT--- Baroque Room--- Trench 89 Locus 21. Sequence No. 94263. In pottery container 140. Cf.--- Mampsis (Erickson-Gini 1999--- Fig. 5. 2. 16).
Pottery,30.3287,35.4421,-200,360,Unguentarium,Small forms,04-P-3,,7. Unguentarium. Cat. No. 04-P-3. Diam. 1.9 cm. Exterior light red 2.5YR 7/8 ware. String-cut base. UT--- West Ramp--- Special Project 96--- Locus 2. Sequence No. SP96040. Cf.--- North Ridge Tomb 2 (Bikai 2001--- Fig. 9--- 11).,,
Pottery,30.3287,35.4421,-200,360,Small Jar,Small Jars,04-P-4,,17. Small Jar. Cat. No. 04-P-4. Rim Diam. 5.6 cm. Base Diam. 3 cm. Red 2.5YR 5/8 ware. String cut base. Location: UT--- West Ramp--- Special Project 96--- Locus 2. Cf.--- North Ridge Tomb 2 (Bikai 2001--- Figs. 9--- 9-10)--- dated to the CE second half of the first century.,,
Pottery,30.3287,35.4421,-200,360,Small Cooking Pot,Cooking Pots,04-P-06,,9. Small Cooking Pot. Cat. No. 04-P-06. Diam. 10.97 cm. Coarse light red 10R6/8 ware--- out-turned rim--- high collar--- sloping shoulder--- and rounded base. Ribbed body. Evidence for two rim-to-shoulder handles--- now missing. Base deformed before firing. Pot has been repaired. Location: UT--- Residential Quarter Steps--- Special Project 94--- Locus 8. Cf.--- Haond 1973--- 39--- 2; Hendrix 1996--- 210-11--- 292.,,
Pottery,30.3287,35.4421,-200,360,Dipper Jug,Jugs,,,10. Dipper Jug. Diam. 9 cm. ,3, Light red 2.5YR 6/8 ware. Very pale brown 10YR 8/2 slip on exterior. Location: UT--- Residential Quarter Steps--- Special Project 94--- Locus 7. Sequence No. SP94019.
Pottery,30.3287,35.4421,-200,360,Bowl,Gruppe 8,,,Bowl. In P. 20 pottery container--- no dimensions. Light red 2.5YR 5/6 ware with dark reddish gray 10R 3/1 core. Location: UT--- Great Cistern--- Special Project 85--- Locus 20. Sequence No. SP85133.,,
Pottery,30.3287,35.4421,-200,360,Bowl,Gruppe 8,,,Bowl. In P. 20 pottery container--- no dimensions--- Light red 10R 6/8 ware with dark reddish gray 10R 3/1 core. Location: UT--- Great Cistern--- Special Project 85--- Locus 20. Sequence No. SP85133.,,
