LBNL ID,MURR ID,Alternate ID,Site,Latitude,Longitude,Context,Excavator,Source Person,Affiliation,Material,Ware,Fabric,Exterior Decoration,Form,Specific Form,Piece,Group,Era,Temper,Notes,Analytical Notes,Powder Present in Archives,Data Source,Run,Entry,Al,Ca,V,Dy,Mn,Na,K,Sr,As,U,Eu,Ba,Sm,La,Ti,Lu,Nd,Co,Sc,Fe,Ce,Yb,Cs,Ta,Sb,Cr,Th,Ni,Rb,Tb,Hf,Zn,Column 59,Column 60,Column 61,Column 62,Column 63,Column 64,Column 65,Column 66,Column 67,Column 68,Column 69,Column 70,Column 71,Column 72,Column 73,Column 74,Column 75
ADAN-530,ADAN0530,,Sepphoris,32.752,35.281,,,"Adan-Bayewitz, D.",Bar-Ilan University,Pottery,,,,Jar,"Jug ""Common Early Roman Jar""",,Sepphoris Group II,Early Roman,,,,,,2234,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAN-549,ADAN0549,"Sepp. 1988, Bucket 1, No. 25",Shikhin,32.768,35.274,Surface,,"Adan-Bayewitz, D.",Bar-Ilan University,Pottery,,,,Bowl,Serving bowl,Rim,,Early-middle Roman,,,,,,3001-3002,[?],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAN-550,ADAN0550,"Sepp. 1988, Bucket 1, No. 1",Shikhin,32.768,35.274,Surface,,"Adan-Bayewitz, D.",Bar-Ilan University,Pottery,,,,Jar,Storage jar,Rim,,Early-middle Roman,,Tabha pottery,,,,3001-3002,[?],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAN-551,ADAN0551,"Sepp. 1988, Bucket 1, No. 15",Shikhin,32.768,35.274,,,"Adan-Bayewitz, D.",Bar-Ilan University,Pottery,,,,Jar,Storage jar,Rim,,Roman,,Tabha pottery,,,,3001-3002,[?],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAN-553,ADAN0553,KH 1987 I.33.17.1; L.3300,Kefar Hananiah,32.922,35.42,,,"Adan-Bayewitz, D.",Bar-Ilan University,Pottery,,,,Jar,,Rim,,Early Roman,,,,,,3001-3002,[?],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAN-554,ADAN0554,KH 1987 I.18.34.1; L.18012,Kefar Hananiah,32.922,35.42,,,"Adan-Bayewitz, D.",Bar-Ilan University,Pottery,,,,Jar,,Rim,,Early Roman,,,,,,3001-3002,[?],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAN-555,ADAN0555,KH 1987 I.18.61.1; L 18019,Kefar Hananiah,32.922,35.42,,,"Adan-Bayewitz, D.",Bar-Ilan University,Pottery,,,,Jar,Cooking pot,,,Early Roman,,,,,,3001-3002,[?],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAN-556,ADAN0556,KH 1987 I.33.15.1; L.33007,Kefar Hananiah,32.922,35.42,,,"Adan-Bayewitz, D.",Bar-Ilan University,Pottery,,,,Bowl,Casserole Form 3A,,,Early Roman,,Tabha pottery,,,,3001-3002,[?],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAN-557,ADAN0557,KH 1987 I.33.31; L. 33008 A138,Kefar Hananiah,32.922,35.42,,,"Adan-Bayewitz, D.",Bar-Ilan University,Pottery,,,,Other,Loom weight,,,Roman,,,,,,3001-3002,[?],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAN-558,ADAN0558,KH 1987 I.18.45.1; L.18016,Kefar Hananiah,32.922,35.42,,,"Adan-Bayewitz, D.",Bar-Ilan University,Pottery,,,,Bowl,,,,Late Roman,,Tabha pottery,,,,3001-3002,[?],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
